,Offence Type,Sex,Year,Admissions
185,Immigration offences,M,2014,1022.0
186,Preventive crime,F,2014,10.0
187,Preventive crime,M,2014,166.0
188,Criminal damage,F,2014,8.0
189,Criminal damage,M,2014,98.0
190,Unlawful society offences,F,2014,0.0
191,Unlawful society offences,M,2014,44.0
192,Conspiracy,F,2014,55.0
193,Conspiracy,M,2014,124.0
194,Miscellaneous crimes,F,2014,354.0
195,Miscellaneous crimes,M,2014,1291.0
196,Total,F,2014,3224.0
197,Total,M,2014,8077.0
198,Total,Total,2014,11301.0
204,Violent crime against person,F,2015,62.0
205,Violent crime against person,M,2015,627.0
206,Violent crime against property,F,2015,1.0
207,Violent crime against property,M,2015,105.0
208,"Burglary, theft and handling stolen goods",F,2015,653.0
209,"Burglary, theft and handling stolen goods",M,2015,2153.0
210,Fraud and forgery,F,2015,51.0
211,Fraud and forgery,M,2015,157.0
212,Indecency (sexual offences),F,2015,196.0
213,Indecency (sexual offences),M,2015,235.0
214,Drug offences,F,2015,352.0
215,Drug offences,M,2015,1667.0
216,Offences against lawful authority,F,2015,79.0
217,Offences against lawful authority,M,2015,148.0
218,Immigration offences,F,2015,1460.0
219,Immigration offences,M,2015,985.0
220,Preventive crime,F,2015,9.0
221,Preventive crime,M,2015,165.0
222,Criminal damage,F,2015,5.0
223,Criminal damage,M,2015,83.0
224,Unlawful society offences,F,2015,0.0
225,Unlawful society offences,M,2015,62.0
226,Conspiracy,F,2015,68.0
227,Conspiracy,M,2015,129.0
228,Miscellaneous crimes,F,2015,548.0
229,Miscellaneous crimes,M,2015,1482.0
230,Total,F,2015,3484.0
231,Total,M,2015,7998.0
232,Total,Total,2015,11482.0
238,Violent crime against person,F,2016,41.0
239,Violent crime against person,M,2016,632.0
240,Violent crime against property,F,2016,5.0
241,Violent crime against property,M,2016,133.0
242,"Burglary, theft and handling stolen goods",F,2016,703.0
243,"Burglary, theft and handling stolen goods",M,2016,2084.0
244,Fraud and forgery,F,2016,56.0
245,Fraud and forgery,M,2016,143.0
246,Indecency (sexual offences),F,2016,192.0
247,Indecency (sexual offences),M,2016,221.0
248,Drug offences,F,2016,408.0
249,Drug offences,M,2016,1799.0
250,Offences against lawful authority,F,2016,92.0
251,Offences against lawful authority,M,2016,152.0
252,Immigration offences,F,2016,1555.0
253,Immigration offences,M,2016,1147.0
254,Preventive crime,F,2016,9.0
255,Preventive crime,M,2016,195.0
256,Criminal damage,F,2016,3.0
257,Criminal damage,M,2016,94.0
258,Unlawful society offences,F,2016,0.0
259,Unlawful society offences,M,2016,70.0
260,Conspiracy,F,2016,72.0
261,Conspiracy,M,2016,89.0
262,Miscellaneous crimes,F,2016,531.0
263,Miscellaneous crimes,M,2016,1554.0
264,Total,F,2016,3667.0
265,Total,M,2016,8313.0
266,Total,Total,2016,11980.0
272,Violent crime against person,F,2017,49.0
273,Violent crime against person,M,2017,585.0
274,Violent crime against property,F,2017,4.0
275,Violent crime against property,M,2017,110.0
276,"Burglary, theft and handling stolen goods",F,2017,675.0
277,"Burglary, theft and handling stolen goods",M,2017,1964.0
278,Fraud and forgery,F,2017,42.0
279,Fraud and forgery,M,2017,121.0
280,Indecency (sexual offences),F,2017,107.0
